IATA	Timezone	Airport Name	City
AWK	Pacific/Wake	Wake Island Airfield	Wake Island
AWM	America/Chicago	West Memphis Municipal Airport	West Memphis
AWN	Australia/Adelaide	Alton Downs Airport	
AWP	Australia/Darwin	Austral Downs Airport	
AWR	Pacific/Port_Moresby	Awar Airport	Awar
AWZ	Asia/Tehran	Ahwaz Airport	Ahwaz
AXA	America/Anguilla	Clayton J Lloyd International Airport	The Valley
AXB	America/New_York	Maxson Airfield	Alexandria Bay
AXC	Australia/Brisbane	Aramac Airport	
AXD	Europe/Athens	Dimokritos Airport	Alexandroupolis
AXE	America/Sao_Paulo	Xanxere Airport	Xanxere
AXF	Asia/Shanghai	Alxa Left Banner Bayanhot Airport	Bayanhot
AXG	America/Chicago	Algona Municipal Airport	Algona
AXJ	Asia/Tokyo	Amakusa Airport	
AXK	Asia/Aden	Ataq Airport	
AXL	Australia/Darwin	Alexandria Homestead Airport	
AXM	America/Bogota	El Eden Airport	Armenia
AXN	America/Chicago	Chandler Field	Alexandria
AXP	America/Nassau	Spring Point Airport	Spring Point
AXR	Pacific/Tahiti	Arutua Airport	
AXS	America/Chicago	Altus Quartz Mountain Regional Airport	Altus
AXT	Asia/Tokyo	Akita Airport	Akita
AXU	Africa/Addis_Ababa	Axum Airport	
AXV	America/New_York	Neil Armstrong Airport	Wapakoneta
AXX	America/Denver	Angel Fire Airport	Angel Fire
AYA	America/Bogota	Ayapel Airport	Ayapel
AYC	America/Bogota	Ayacucho Airport	Ayacucho
AYD	Australia/Darwin	Alroy Downs Airport	Alroy Downs
AYG	America/Bogota	Yaguara Airport	San Vicente Del Caguan
AYI	America/Bogota	Yari Airport	Yari
AYK	Asia/Almaty	Arkalyk North Airport	Arkalyk
AYL	Australia/Darwin	Anthony Lagoon Airport	
AYM	Asia/Dubai	Yas Island Seaplane Base	Abu Dhabi
AYN	Asia/Shanghai	Anyang Airport	Anyang
AYO	America/Asuncion	Juan De Ayolas Airport	Ayolas
AYP	America/Lima	Coronel FAP Alfredo Mendivil Duarte Airport	Ayacucho
AYQ	Australia/Darwin	Ayers Rock Connellan Airport	Ayers Rock
AYR	Australia/Brisbane	Ayr Airport	
AYS	America/New_York	Waycross Ware County Airport	Waycross
AYT	Europe/Istanbul	Antalya International Airport	Antalya
AYU	Pacific/Port_Moresby	Aiyura Airport	Aiyura Valley
AYW	Asia/Jayapura	Ayawasi Airport	Ayawasi-Papua Island
AYY	Asia/Colombo	Arugam Bay SPB	Pottuvil
AZA	America/Phoenix	Phoenix-Mesa-Gateway Airport	Phoenix
AZB	Pacific/Port_Moresby	Amazon Bay Airport	
AZD	Asia/Tehran	Shahid Sadooghi Airport	Yazd
AZG	America/Mexico_City	Pablo L. Sidar Airport	Apatzingan
AZI	Asia/Dubai	Bateen Airport	
AZL	America/Cuiaba	Fazenda Tucunare Airport	Sapezal
AZN	Asia/Tashkent	Andizhan Airport	Andizhan
AZO	America/Detroit	Kalamazoo Battle Creek International Airport	Kalamazoo
AZP	America/Mexico_City	Atizapan De Zaragoza Airport	
AZR	Africa/Algiers	Touat Cheikh Sidi Mohamed Belkebir Airport	
AZS	America/Santo_Domingo	Samana El Catey International Airport	Samana
AZT	America/Bogota	Zapatoca Airport	Zapatoca
AZZ	Africa/Luanda	Ambriz Airport	Ambriz
BAB	America/Los_Angeles	Beale Air Force Base	Marysville
BAC	America/Bogota	Barranca De Upia Airport	Barranca De Upia
BAD	America/Chicago	Barksdale Air Force Base	Bossier City
BAE	Europe/Paris	Barcelonnette - Saint-Pons Airport	Le Castellet
BAF	America/New_York	Westfield-Barnes Regional Airport	Westfield/Springfield
BAG	Asia/Manila	Loakan Airport	Baguio City
BAH	Asia/Bahrain	Bahrain International Airport	Manama
BAI	America/Costa_Rica	Buenos Aires Airport	Punta Arenas
BAJ	Pacific/Port_Moresby	Bali Airport	Unea Island
BAL	Europe/Istanbul	Batman Airport	Batman
BAM	America/Los_Angeles	Battle Mountain Airport	Battle Mountain
BAN	Africa/Lubumbashi	Basongo Airport	Basongo
BAP	Pacific/Port_Moresby	Baibara Airport	Nabai
BAQ	America/Bogota	Ernesto Cortissoz International Airport	Barranquilla
BAR	Asia/Shanghai	Qionghai Bo'ao Airport	Qionghai
BAS	Pacific/Guadalcanal	Ballalae Airport	Ballalae
BAT	America/Sao_Paulo	Chafei Amsei Airport	Barretos
BAV	Asia/Shanghai	Baotou Airport	Baotou
BAX	Asia/Omsk	Barnaul Airport	Barnaul
BAY	Europe/Bucharest	Maramures International Airport	Baia Mare
BAZ	America/Manaus	Barcelos Airport	Barcelos
BBA	America/Santiago	Balmaceda Airport	Balmaceda
BBB	America/Chicago	Benson Municipal Airport	Benson
BBC	America/Chicago	Bay City Municipal Airport	Bay City
BBD	America/Chicago	Curtis Field	Brady
BBG	Pacific/Tarawa	Butaritari Atoll Airport	Butaritari Atoll
BBH	Europe/Berlin	Barth Airport	
BBI	Asia/Kolkata	Biju Patnaik Airport	Bhubaneswar
BBJ	Europe/Berlin	Bitburg Airport	Bitburg
BBK	Africa/Gaborone	Kasane Airport	Kasane
BBL	Australia/Brisbane	Ballera Airport	
BBM	Asia/Phnom_Penh	Battambang Airport	Battambang
BBN	Asia/Kuching	Bario Airport	Bario
BBO	Africa/Mogadishu	Berbera Airport	Berbera
BBP	Europe/London	Bembridge Airport	Bembridge
BBQ	America/Antigua	Codrington Airport	Codrington
BBR	America/Guadeloupe	Baillif Airport	Basse Terre
BBS	Europe/London	Blackbushe Airport	Yateley
BBT	Africa/Bangui	Berberati Airport	Berberati
BBU	Europe/Bucharest	Baneasa International Airport	Bucharest
BBV	Africa/Abidjan	Nero-Mer Airport	Grand-Bereby
BBW	America/Chicago	Broken Bow Municipal Airport	Broken Bow
BBX	America/New_York	Wings Field	Philadelphia
BBY	Africa/Bangui	Bambari Airport	Bambari
BBZ	Africa/Lusaka	Zambezi Airport	Zambezi
BCA	America/Havana	Gustavo Rizo Airport	Baracoa
BCB	America/New_York	Virginia Tech Montgomery Executive Airport	Blacksburg
BCC	America/Anchorage	Bear Creek 3 Airport	Bear Creek
BCD	Asia/Manila	Bacolod-Silay Airport	Bacolod City
BCE	America/Denver	Bryce Canyon Airport	Bryce Canyon
BCF	Africa/Bangui	Bouca Airport	Bouca
BCG	America/Guyana	Bemichi Airport	Bemichi
BCH	Asia/Dili	Cakung Airport	Baucau
BCI	Australia/Brisbane	Barcaldine Airport	Barcaldine
BCK	Australia/Brisbane	Bolwarra Airport	
BCL	America/Costa_Rica	Barra del Colorado Airport	Pococi
BCM	Europe/Bucharest	Bacau Airport	Bacau
BCN	Europe/Madrid	Barcelona International Airport	Barcelona
BCO	Africa/Addis_Ababa	Baco Airport	Baco
BCP	Pacific/Port_Moresby	Bambu Airport	Bambu
BCQ	Africa/Tripoli	Brak Airport	Brak
BCR	America/Manaus	Novo Campo Airport	Boca do Acre
BCS	America/Chicago	Southern Seaplane Airport	Belle Chasse
BCT	America/New_York	Boca Raton Airport	Boca Raton
BCU	Africa/Lagos	Sir Abubakar Tafawa Balewa International Airport	Bauchi
BCV	America/Belize	Hector Silva Airstrip	Belmopan
BCW	Africa/Maputo	Benguera Island Airport	Benguera Island
BCX	Asia/Yekaterinburg	Beloretsk Airport	Beloretsk
BCZ	Australia/Darwin	Milyakburra Airport	Bickerton Island
BDA	Atlantic/Bermuda	L.F. Wade International International Airport	Hamilton
BDB	Australia/Brisbane	Bundaberg Airport	Bundaberg
BDC	America/Fortaleza	Barra do Corda Airport	Barra Do Corda
BDD	Australia/Brisbane	Badu Island Airport	
BDE	America/Chicago	Baudette International Airport	Baudette
BDF	America/Chicago	Rinkenberger Restricted Landing Area	Bradford
BDG	America/Denver	Blanding Municipal Airport	Blanding
BDH	Asia/Tehran	Bandar Lengeh Airport	Bandar Lengeh
BDI	Indian/Mahe	Bird Island Airport	Bird Island
BDJ	Asia/Makassar	Syamsudin Noor Airport	Banjarmasin-Borneo Island
BDK	Africa/Abidjan	Soko Airport	Bondoukou
BDL	America/New_York	Bradley International Airport	Hartford
BDM	Europe/Istanbul	Bandirma Airport	
BDN	Asia/Karachi	Talhar Airport	Badin
BDO	Asia/Jakarta	Husein Sastranegara International Airport	Bandung-Java Island
BDP	Asia/Kathmandu	Bhadrapur Airport	Bhadrapur
BDQ	Asia/Kolkata	Vadodara Airport	Vadodara
BDR	America/New_York	Igor I Sikorsky Memorial Airport	Bridgeport
BDS	Europe/Rome	Brindisi - Salento Airport	Brindisi
BDT	Africa/Kinshasa	Gbadolite Airport	
BDU	Europe/Oslo	Bardufoss Airport	Malselv
BDV	Africa/Lubumbashi	Moba Airport	Moba
BDW	Australia/Perth	Bedford Downs Airport	
BDX	America/Denver	Broadus Airport	Broadus
BDY	America/Los_Angeles	Bandon State Airport	Bandon
BDZ	Pacific/Port_Moresby	Baindoung Airport	
BEA	Pacific/Port_Moresby	Bereina Airport	Bereina Mission
BEB	Europe/London	Benbecula Airport	Balivanich
BEC	America/Chicago	Beech Factory Airport	Wichita
BED	America/New_York	Laurence G Hanscom Field	Bedford
BEE	Australia/Perth	Beagle Bay Airport	Beagle Bay
BEF	America/Managua	Bluefields Airport	Bluefileds
BEG	Europe/Belgrade	Belgrade Nikola Tesla Airport	Belgrade
BEH	America/Detroit	Southwest Michigan Regional Airport	Benton Harbor
BEI	Africa/Addis_Ababa	Beica Airport	Beica
BEJ	Asia/Makassar	Kalimarau Airport	Tanjung Redeb - Borneo Island
BEK	Asia/Kolkata	Bareilly Air Force Station	Bareilly
BEL	America/Belem	Val de Cans/Julio Cezar Ribeiro International Airport	Belem
BEM	Africa/Casablanca	Beni Mellal Airport	Beni Mellal
BEN	Africa/Tripoli	Benina International Airport	Benghazi
BEO	Australia/Sydney	Lake Macquarie Airport	
BEP	Asia/Kolkata	Bellary Airport	Bellary
BEQ	Europe/London	RAF Honington	Thetford
BER	Europe/Berlin	Berlin Brandenburg Airport (U.C.)	Berlin
BES	Europe/Paris	Brest Bretagne Airport	Brest/Guipavas
BET	America/Anchorage	Bethel Airport	Bethel
BEU	Australia/Brisbane	Bedourie Airport	
BEV	Asia/Jerusalem	Beersheba (Teyman) Airport	Beersheba
BEW	Africa/Maputo	Beira Airport	Beira
BEX	Europe/London	RAF Benson	Benson
BEY	Asia/Beirut	Beirut Rafic Hariri International Airport	Beirut
BEZ	Pacific/Tarawa	Beru Airport	Beru
BFA	America/Asuncion	Bahia Negra Airport	Bahia Negra
BFC	Australia/Brisbane	Bloomfield River Airport	
BFD	America/New_York	Bradford Regional Airport	Bradford
BFE	Europe/Berlin	Bielefeld Airport	Bielefeld
BFF	America/Denver	Western Neb. Rgnl/William B. Heilig Airport	Scottsbluff
BFG	America/Denver	Bullfrog Basin Airport	Glen Canyon Natl Rec Area
BFH	America/Sao_Paulo	Bacacheri Airport	Curitiba
BFI	America/Los_Angeles	Boeing Field King County International Airport	Seattle
BFJ	Asia/Shanghai	Bijie Feixiong Airport	Bijie
BFK	America/Denver	Buckley Air Force Base	Aurora
BFL	America/Los_Angeles	Meadows Field	Bakersfield
BFM	America/Chicago	Mobile Downtown Airport	Mobile
BFN	Africa/Johannesburg	Bram Fischer International Airport	Bloemfontain
BFO	Africa/Harare	Buffalo Range Airport	Chiredzi
BFP	America/New_York	Beaver County Airport	Beaver Falls
BFQ	America/Panama	Bahia Pina Airport	Bahia Pina
BFR	America/Indiana/Indianapolis	Virgil I Grissom Municipal Airport	Bedford
BFS	Europe/London	Belfast International Airport	Belfast
BFT	America/New_York	Beaufort County Airport	Beaufort
BFU	Asia/Shanghai	Bengbu Airport	Bengbu
BFV	Asia/Bangkok	Buri Ram Airport	
BFW	Africa/Algiers	Sidi Bel Abbes Airport	Sidi Bel Abbes
BFX	Africa/Douala	Bafoussam Airport	Bafoussam
BGA	America/Bogota	Palonegro Airport	Bucaramanga
BGB	Africa/Libreville	Booue Airport	Booue
BGC	Europe/Lisbon	Braganca Airport	Braganca
BGD	America/Chicago	Hutchinson County Airport	Borger
BGE	America/New_York	Decatur County Industrial Air Park	Bainbridge
BGF	Africa/Bangui	Bangui M'Poko International Airport	Bangui
BGG	Europe/Istanbul	Bingol Celtiksuyu Airport	Bingol
BGH	Africa/Nouakchott	Abbaye Airport	Boghe
BGI	America/Barbados	Grantley Adams International Airport	Bridgetown
BGJ	Atlantic/Reykjavik	Borgarfjordur eystri Airport	Borgarfjordur eystri
BGK	America/Belize	Big Creek Airport	Big Creek
BGL	Asia/Kathmandu	Baglung Airport	Baglung
BGM	America/New_York	Greater Binghamton/Edwin A Link field	Binghamton
BGN	Asia/Magadan	Belaya Gora Airport	Belaya Gora
BGO	Europe/Oslo	Bergen Airport Flesland	Bergen
BGP	Africa/Libreville	Bongo Airport	Bongo
BGQ	America/Anchorage	Big Lake Airport	Big Lake
BGR	America/New_York	Bangor International Airport	Bangor
BGT	America/Phoenix	Bagdad Airport	Bagdad
BGU	Africa/Bangui	Bangassou Airport	Bangassou
BGV	America/Sao_Paulo	Aeroclube de Bento Goncalves Airport	Bento Goncalves
BGW	Asia/Baghdad	Baghdad International Airport	Baghdad
BGX	America/Sao_Paulo	Comandante Gustavo Kraemer Airport	Bage
BGY	Europe/Rome	Il Caravaggio International Airport	Bergamo
BGZ	Europe/Lisbon	Braga Municipal Aerodrome	Braga
BHA	America/Guayaquil	Los Perales Airport	Bahia de Caraquez
BHB	America/New_York	Hancock County-Bar Harbor Airport	Bar Harbor
BHD	Europe/London	George Best Belfast City Airport	Belfast
BHE	Pacific/Auckland	Woodbourne Airport	Blenheim
BHF	America/Bogota	Bahia Cupica Airport	Bahia Cupica
BHG	America/Tegucigalpa	Brus Laguna Airport	Brus Laguna
BHH	Asia/Riyadh	Bisha Airport	
BHI	America/Argentina/Buenos_Aires	Comandante Espora Airport	Bahia Blanca
BHJ	Asia/Kolkata	Bhuj Airport	Bhuj
BHK	Asia/Samarkand	Bukhara Airport	Bukhara
BHL	America/Tijuana	Bahia de los Angeles Airport	Bahia de los Angeles
BHM	America/Chicago	Birmingham-Shuttlesworth International Airport	Birmingham
BHN	Asia/Aden	Beihan Airport	
BHO	Asia/Kolkata	Raja Bhoj International Airport	Bhopal
BHP	Asia/Kathmandu	Bhojpur Airport	Bhojpur
BHQ	Australia/Broken_Hill	Broken Hill Airport	Broken Hill
BHR	Asia/Kathmandu	Bharatpur Airport	Bharatpur
BHS	Australia/Sydney	Bathurst Airport	Bathurst
BHT	Australia/Brisbane	Brighton Downs Airport	
BHU	Asia/Kolkata	Bhavnagar Airport	Bhavnagar
BHV	Asia/Karachi	Bahawalpur Airport	Bahawalpur
BHW	Asia/Karachi	Bhagatanwala Airport	Bhagatanwala
BHX	Europe/London	Birmingham International Airport	Birmingham
BHY	Asia/Shanghai	Beihai Airport	Beihai
BIA	Europe/Paris	Bastia-Poretta Airport	Bastia/Poretta
BIB	Africa/Mogadishu	Baidoa Airport	Baidoa
BID	America/New_York	Block Island State Airport	Block Island
BIE	America/Chicago	Beatrice Municipal Airport	Beatrice
BIF	America/Denver	Biggs Army Air Field (Fort Bliss)	Fort Bliss/El Paso
BIG	America/Anchorage	Allen Army Airfield	Delta Junction Ft Greely
BIH	America/Los_Angeles	Eastern Sierra Regional Airport	Bishop
BII	Pacific/Kwajalein	Enyu Airfield	Bikini Atoll
BIJ	Pacific/Port_Moresby	Biliau Airport	Biliau
BIK	Asia/Jayapura	Frans Kaisiepo Airport	Biak-Supiori Island
BIL	America/Denver	Billings Logan International Airport	Billings
BIM	America/Nassau	South Bimini Airport	South Bimini
BIN	Asia/Kabul	Bamiyan Airport	Bamiyan
BIO	Europe/Madrid	Bilbao Airport	Bilbao
BIP	Australia/Brisbane	Bulimba Airport	
BIQ	Europe/Paris	Biarritz-Anglet-Bayonne Airport	Biarritz/Anglet/Bayonne
BIR	Asia/Kathmandu	Biratnagar Airport	Biratnagar
BIS	America/Chicago	Bismarck Municipal Airport	Bismarck
BIT	Asia/Kathmandu	Baitadi Airport	Baitadi
BIU	Atlantic/Reykjavik	Bildudalur Airport	Bildudalur
BIV	Africa/Bangui	Bria Airport	Bria
BIW	Australia/Perth	Billiluna Airport	
BIX	America/Chicago	Keesler Air Force Base	Biloxi
BIY	Africa/Johannesburg	Bisho Airport	Bisho
BIZ	Pacific/Port_Moresby	Bimin Airport	
BJA	Africa/Algiers	Soummam Airport	Bejaia
BJB	Asia/Tehran	Bojnord Airport	Bojnord
BJC	America/Denver	Rocky Mountain Metropolitan Airport	Denver
BJD	Atlantic/Reykjavik	Bakkafjordur Airport	Bakkafjordur
BJE	Africa/Khartoum	Baleela Airport	Baleela Base Camp
BJF	Europe/Oslo	Batsfjord Airport	Batsfjord
BJG	Asia/Makassar	Boalang Airport	Boalang-Celebes Island
BJH	Asia/Kathmandu	Bajhang Airport	Bajhang
BJI	America/Chicago	Bemidji Regional Airport	Bemidji
BJJ	America/New_York	Wayne County Airport	Wooster
BJK	Asia/Jayapura	Nangasuri Airport	Maikoor Island
BJL	Africa/Banjul	Banjul International Airport	Banjul
BJM	Africa/Bujumbura	Bujumbura International Airport	Bujumbura
BJO	America/La_Paz	Bermejo Airport	Bermejo
BJP	America/Sao_Paulo	Estadual Arthur Siqueira Airport	Braganca Paulista
BJQ	Asia/Muscat	Bahja Airport	Bahja
BJR	Africa/Addis_Ababa	Bahir Dar Airport	Bahir Dar
BJT	Asia/Colombo	Bentota River Waterdrome	Bentota
BJU	Asia/Kathmandu	Bajura Airport	Bajura
BJV	Europe/Istanbul	Milas Bodrum International Airport	Bodrum
BJW	Asia/Makassar	Bajawa Soa Airport	Bajawa
BJX	America/Mexico_City	Del Bajio International Airport	Silao
BJY	Europe/Belgrade	Batajnica Air Base	Batajnica
BJZ	Europe/Madrid	Badajoz Airport	Badajoz
BKB	Asia/Kolkata	Nal Airport	Bikaner
BKC	America/Anchorage	Buckland Airport	Buckland
BKD	America/Chicago	Stephens County Airport	Breckenridge
BKE	America/Los_Angeles	Baker City Municipal Airport	Baker City
BKF	America/Anchorage	Lake Brooks Seaplane Base	Katmai National Park
BKG	America/Chicago	Branson Airport	Branson
BKH	Pacific/Honolulu	Barking Sands Airport	Kekaha
BKI	Asia/Kuching	Kota Kinabalu International Airport	Kota Kinabalu
BKJ	Africa/Conakry	Boke Baralande Airport	Boke
BKK	Asia/Bangkok	Suvarnabhumi Airport	Bangkok
BKL	America/New_York	Burke Lakefront Airport	Cleveland
BKM	Asia/Kuching	Bakalalan Airport	Bakalalan
BKN	Asia/Ashgabat	Balkanabat Airport	Balkanabat
BKO	Africa/Bamako	Modibo Keita International Airport	Bamako
BKP	Australia/Brisbane	Barkly Downs Airport	
BKQ	Australia/Brisbane	Blackall Airport	Blackall
BKR	Africa/Ndjamena	Bokoro Airport	Bokoro
BKS	Asia/Jakarta	Fatmawati Soekarno Airport	Bengkulu-Sumatra Island
BKT	America/New_York	Allen C Perkinson Blackstone Army Air Field	Blackstone
BKU	Indian/Antananarivo	Betioky Airport	Betioky
BKW	America/New_York	Raleigh County Memorial Airport	Beckley
BKX	America/Chicago	Brookings Regional Airport	Brookings
BKY	Africa/Lubumbashi	Bukavu Kavumu Airport	
BKZ	Africa/Dar_es_Salaam	Bukoba Airport	Bukoba
BLA	America/Caracas	General Jose Antonio Anzoategui International Airport	Barcelona
BLB	America/Panama	Panama Pacific International Airport	Panama City
BLC	Africa/Douala	Bali Airport	Bali
BLD	America/Los_Angeles	Boulder City Municipal Airport	Boulder City
BLE	Europe/Stockholm	Borlange Airport	
BLF	America/New_York	Mercer County Airport	Bluefield
BLG	Asia/Kuching	Belaga Airport	Belaga
BLH	America/Los_Angeles	Blythe Airport	Blythe
BLI	America/Los_Angeles	Bellingham International Airport	Bellingham
BLJ	Africa/Algiers	Batna Airport	Batna
BLK	Europe/London	Blackpool International Airport	Blackpool
BLL	Europe/Copenhagen	Billund Airport	Billund
BLM	America/New_York	Monmouth Executive Airport	Belmar/Farmingdale
BLN	Australia/Melbourne	Benalla Airport	
BLO	Atlantic/Reykjavik	Hjaltabakki Airport	Blonduos
BLP	America/Lima	Huallaga Airport	Bellavista
BLQ	Europe/Rome	Bologna Guglielmo Marconi Airport	Bologna
BLR	Asia/Kolkata	Kempegowda International Airport	Bangalore
BLS	Australia/Brisbane	Bollon Airport	
BLT	Australia/Brisbane	Blackwater Airport	
BLU	America/Los_Angeles	Blue Canyon Nyack Airport	Emigrant Gap
BLV	America/Chicago	Scott AFB/Midamerica Airport	Belleville
BLW	Africa/Mogadishu	Beletwene Airport	Beledweyne
BLX	Europe/Rome	Belluno Airport	Belluno (BL)
BLY	Europe/Dublin	Belmullet Aerodrome	Belmullet
BLZ	Africa/Blantyre	Chileka International Airport	Blantyre
BMA	Europe/Stockholm	Stockholm-Bromma Airport	Stockholm
BMB	Africa/Kinshasa	Bumbar Airport	Bumbar
BMC	America/Denver	Brigham City Regional Airport	Brigham City
BMD	Indian/Antananarivo	Belo sur Tsiribihina Airport	Belo sur Tsiribihina
BME	Australia/Perth	Broome International Airport	Broome
BMF	Africa/Bangui	Bakouma Airport	Bakouma
BMG	America/Indiana/Indianapolis	Monroe County Airport	Bloomington
BMH	Pacific/Port_Moresby	Bomai Airport	Bomai
BMI	America/Chicago	Central Illinois Regional Airport at Bloomington-Normal	Bloomington/Normal
BMJ	America/Guyana	Baramita Airport	Baramita
BMK	Europe/Berlin	Borkum Airport	Borkum
BML	America/New_York	Berlin Regional Airport	Berlin
BMM	Africa/Libreville	Bitam Airport	Bitam
BMN	Asia/Baghdad	Bamarni Airport	Bamarni
BMO	Asia/Yangon	Banmaw Airport	Banmaw
BMP	Australia/Brisbane	Brampton Island Airport	
BMQ	Africa/Nairobi	Bamburi Airport	
BMR	Europe/Berlin	Baltrum Airport	Baltrum
BMS	America/Bahia	Socrates Mariani Bittencourt Airport	Brumado
BMT	America/Chicago	Beaumont Municipal Airport	Beaumont
BMU	Asia/Makassar	Muhammad Salahuddin Airport	Bima-Sumbawa Island
BMV	Asia/Ho_Chi_Minh	Buon Ma Thuot Airport	Buon Ma Thuot
BMW	Africa/Algiers	Bordj Badji Mokhtar Airport	Bordj Badji Mokhtar
BMX	America/Anchorage	Big Mountain Airport	Big Mountain
BMY	Pacific/Noumea	Ile Art - Waala Airport	Waala
BMZ	Pacific/Port_Moresby	Bamu Airport	Bamu
BNA	America/Chicago	Nashville International Airport	Nashville
BNB	Africa/Kinshasa	Boende Airport	Boende
BNC	Africa/Lubumbashi	Beni Airport	Beni
BND	Asia/Tehran	Bandar Abbas International Airport	Bandar Abbas
BNE	Australia/Brisbane	Brisbane International Airport	Brisbane
BNF	America/Sitka	Baranof Warm Springs Float and Seaplane Base	Baranof
BNG	America/Los_Angeles	Banning Municipal Airport	Banning
BNH	America/New_York	Cape Air Seaplanes on Boston Harbor Seaplane Base	Boston
BNI	Africa/Lagos	Benin Airport	Benin
BNK	Australia/Sydney	Ballina Byron Gateway Airport	Ballina
BNL	America/New_York	Barnwell Regional Airport	Barnwell
BNM	Pacific/Port_Moresby	Bodinumu Airport	Bodinumu
BNN	Europe/Oslo	Bronnoysund Airport	Bronnoy
BNO	America/Los_Angeles	Burns Municipal Airport	Burns
BNP	Asia/Karachi	Bannu Airport	Bannu
BNQ	Asia/Manila	Baganga airport	Baganga
BNR	Africa/Ouagadougou	Banfora Airport	Banfora
BNS	America/Caracas	Barinas Airport	Barinas
BNT	Pacific/Port_Moresby	Bundi Airport	Bundi
BNU	America/Sao_Paulo	Blumenau Airport	Blumenau
BNV	Pacific/Port_Moresby	Boana Airport	Boana
BNW	America/Chicago	Boone Municipal Airport	Boone
BNX	Europe/Sarajevo	Banja Luka International Airport	Banja Luka
BNY	Pacific/Guadalcanal	Bellona/Anua Airport	Anua
BNZ	Pacific/Port_Moresby	Banz Airport	Banz
BOA	Africa/Kinshasa	Boma Airport	Boma
BOB	Pacific/Tahiti	Bora Bora Airport	Motu Mute
BOC	America/Panama	Bocas Del Toro International Airport	Isla Colon
BOD	Europe/Paris	Bordeaux-Merignac Airport	Bordeaux/Merignac
BOE	Africa/Brazzaville	Boundji Airport	Boundji
BOG	America/Bogota	El Dorado International Airport	Bogota
